ID	SEX	AGE	MARST	FAMSIZE	HCOVPRIV	WKSWORK1	INCTOT
1	1	39	6	5	1	0	9000
2	2	21	6	4	1	0	150
3	1	19	6	2	2	45	1400
4	1	77	5	3	2	0	22700
5	1	41	3	1	1	0	0
6	1	18	6	3	2	0	0
7	2	93	5	2	1	0	36000
8	1	35	6	1	1	0	9300
9	2	39	4	3	1	32	60000
10	2	18	6	3	2	0	0
11	1	62	4	1	1	0	0
12	1	19	6	3	2	4	390
13	2	19	6	3	2	0	0
14	2	39	4	2	1	32	60000
15	1	21	6	4	2	6	4440
16	2	45	6	3	1	0	0
17	1	25	6	2	1	0	1200
18	1	31	6	2	1	6	800
19	2	18	6	4	2	35	3700
20	1	20	6	9	1	0	9300
21	1	32	6	4	1	28	14400
22	1	80	2	2	1	0	0
23	2	19	6	2	2	3	970
24	2	20	6	4	2	0	0
25	1	33	4	2	1	0	0
26	1	44	6	1	1	0	0
27	1	21	6	1	2	0	0
28	1	29	6	5	1	0	0
29	1	57	6	5	1	40	20000
30	1	37	6	4	1	16	15800
31	2	75	5	1	1	0	52600
32	1	38	6	2	1	21	14600
33	1	61	6	3	1	0	11100
34	1	61	6	3	1	0	11100
35	1	35	6	3	1	0	9300
36	2	88	5	5	2	0	4300
37	2	19	6	2	2	0	0
38	2	18	6	1	2	0	0
39	1	30	6	2	1	52	19500
40	2	20	6	4	2	0	0
41	1	70	4	1	1	0	13200
42	2	80	5	6	1	0	12600
43	2	67	2	5	1	0	0
44	1	25	6	3	1	8	1400
45	2	58	6	5	1	0	10100
46	2	19	6	1	2	8	1200
47	1	40	6	1	1	0	0
48	1	63	6	5	1	0	13800
49	1	75	6	4	1	0	9100
50	2	20	6	4	1	18	2100
51	1	21	6	4	1	4	700
52	1	19	6	1	1	0	0
53	2	23	6	2	2	0	0
54	2	53	6	5	1	0	0
55	1	19	6	7	2	15	1500
56	1	66	6	2	1	0	14000
57	2	87	5	4	1	0	0
58	1	23	6	1	1	52	7000
59	1	76	2	2	1	0	4300
60	2	93	5	4	1	0	4300
